index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
67," \w πρώτης|lemma=""πρῶτος"" strong=""G44130"" x-morph=""Gr,EO,,,,GFS,""",1,5, πρώτης,,"Gr,EO,,,,GFS,",πρῶτος,G44130,False,G44130,,67,1,1,51-PHP
68," \w ἡμέρας|lemma=""ἡμέρα"" strong=""G22500"" x-morph=""Gr,N,,,,,GFS,"" x-tw=""rc://*/tw/dict/bible/other/biblicaltimeday""",1,5, ἡμέρας,,"Gr,N,,,,,GFS,",ἡμέρα,G22500,False,G22500,rc://*/tw/dict/bible/other/biblicaltimeday,68,1,1,51-PHP
69," \w ἄχρι|lemma=""ἄχρι"" strong=""G08910"" x-morph=""Gr,PI,,,,G,,,""",1,5, ἄχρι,,"Gr,PI,,,,G,,,",ἄχρι,G08910,False,G08910,,69,1,1,51-PHP
70," \w τοῦ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,GMS,""",1,5, τοῦ,,"Gr,RD,,,,GMS,",ὁ,G35880,False,G35880,,70,1,1,51-PHP
71," \w νῦν|lemma=""νῦν"" strong=""G35680"" x-morph=""Gr,D,,,,,,,,,""",1,5, νῦν,,"Gr,D,,,,,,,,,",νῦν,G35680,False,G35680,,71,1,1,51-PHP
73,"\w πεποιθὼς|lemma=""πείθω"" strong=""G39820"" x-morph=""Gr,V,PEA,NMS,"" x-tw=""rc://*/tw/dict/bible/other/confidence""",1,6, πεποιθὼς,,"Gr,V,PEA,NMS,",πείθω,G39820,False,G39820,rc://*/tw/dict/bible/other/confidence,73,1,1,51-PHP
74," \w αὐτὸ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RD,,,,ANS,""",1,6, αὐτὸ,,"Gr,RD,,,,ANS,",αὐτός,G08460,False,G08460,,74,1,1,51-PHP
75," \w τοῦτο|lemma=""οὗτος"" strong=""G37780"" x-morph=""Gr,ED,,,,ANS,""",1,6, τοῦτο,,"Gr,ED,,,,ANS,",οὗτος,G37780,False,G37780,,75,1,1,51-PHP
76,", \w ὅτι|lemma=""ὅτι"" strong=""G37540"" x-morph=""Gr,CS,,,,,,,,""",1,6, ὅτι,", ","Gr,CS,,,,,,,,",ὅτι,G37540,False,G37540,,76,1,1,51-PHP
77," \w ὁ|lemma=""ὁ"" strong=""G35880"" x-morph=""Gr,RD,,,,NMS,""",1,6, ὁ,,"Gr,RD,,,,NMS,",ὁ,G35880,False,G35880,,77,1,1,51-PHP
78," \w ἐναρξάμενος|lemma=""ἐνάρχομαι"" strong=""G17280"" x-morph=""Gr,V,PAM,NMS,""",1,6, ἐναρξάμενος,,"Gr,V,PAM,NMS,",ἐνάρχομαι,G17280,False,G17280,,78,1,1,51-PHP
79," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,6, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,79,1,1,51-PHP
80," \w ὑμῖν|lemma=""σύ"" strong=""G47710"" x-morph=""Gr,RP,,,2D,P,""",1,6, ὑμῖν,,"Gr,RP,,,2D,P,",σύ,G47710,False,G47710,,80,1,1,51-PHP
81," \w ἔργον|lemma=""ἔργον"" strong=""G20410"" x-morph=""Gr,N,,,,,ANS,"" x-tw=""rc://*/tw/dict/bible/kt/works""",1,6, ἔργον,,"Gr,N,,,,,ANS,",ἔργον,G20410,False,G20410,rc://*/tw/dict/bible/kt/works,81,1,1,51-PHP
