index,source_token,chapter,verse,token,token_prefix,morph,lemma,strongs,has_prefix,strongs_no_prefix,translation_word,id,occs,occ,book
107,", \w καὶ|lemma=""καί"" strong=""G25320"" x-morph=""Gr,CC,,,,,,,,""",1,5, καὶ,", ","Gr,CC,,,,,,,,",καί,G25320,False,G25320,,107,3,3,63-1JN
108," \w σκοτία|lemma=""σκοτία"" strong=""G46530"" x-morph=""Gr,N,,,,,NFS,"" x-tw=""rc://*/tw/dict/bible/other/darkness""",1,5, σκοτία,,"Gr,N,,,,,NFS,",σκοτία,G46530,False,G46530,rc://*/tw/dict/bible/other/darkness,108,1,1,63-1JN
109," \w ἐν|lemma=""ἐν"" strong=""G17220"" x-morph=""Gr,P,,,,,D,,,""",1,5, ἐν,,"Gr,P,,,,,D,,,",ἐν,G17220,False,G17220,,109,1,1,63-1JN
110," \w αὐτῷ|lemma=""αὐτός"" strong=""G08460"" x-morph=""Gr,RP,,,3DMS,""",1,5, αὐτῷ,,"Gr,RP,,,3DMS,",αὐτός,G08460,False,G08460,,110,1,1,63-1JN
111,", \w οὐκ|lemma=""οὐ"" strong=""G37560"" x-morph=""Gr,D,,,,,,,,,""",1,5, οὐκ,", ","Gr,D,,,,,,,,,",οὐ,G37560,False,G37560,,111,1,1,63-1JN
112," \w ἔστιν|lemma=""εἰμί"" strong=""G15100"" x-morph=""Gr,V,IPA3,,S,""",1,5, ἔστιν,,"Gr,V,IPA3,,S,",εἰμί,G15100,False,G15100,,112,2,2,63-1JN
113," \w οὐδεμία|lemma=""οὐδείς"" strong=""G37620"" x-morph=""Gr,EQ,,,,NFS,""",1,5, οὐδεμία,,"Gr,EQ,,,,NFS,",οὐδείς,G37620,False,G37620,,113,1,1,63-1JN
115,"\w ἐὰν|lemma=""ἐάν"" strong=""G14370"" x-morph=""Gr,CS,,,,,,,,""",1,6, ἐὰν,,"Gr,CS,,,,,,,,",ἐάν,G14370,False,G14370,,115,1,1,63-1JN
116," \w εἴπωμεν|lemma=""λέγω"" strong=""G30040"" x-morph=""Gr,V,SAA1,,P,""",1,6, εἴπωμεν,,"Gr,V,SAA1,,P,",λέγω,G30040,False,G30040,,116,1,1,63-1JN
117," \w ὅτι|lemma=""ὅτι"" strong=""G37540"" x-morph=""Gr,CS,,,,,,,,""",1,6, ὅτι,,"Gr,CS,,,,,,,,",ὅτι,G37540,False,G37540,,117,1,1,63-1JN
